NMS Service Plan Id,Phone,Parent Account: Account Name,Latest Decommission Date,DSS Order ID,FSO ID,Enterprise ID,Distributor Partner Id,Satellite,Gateway Name,Transponder,Created Date,Latest Commission Date,Last Modified Date,Modem,Beam Id,Offer/Plan Name,Offer Description,Serial Number,Location Status,Lat,Long,location
NC020G1,8032582277,Marcorex Telco Services Hyperia,4/13/2018,,3521532,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,3/15/2016,4/17/2018,HN9600,Y1B051,YahClick Empower 20GB,,2628267,Inactive,4.956944,6.361944,"X947+V47, Mbiama-Yenagoa Road, 569101, Yenagoa, Bayelsa,   "
NC010G1,8020575565,GETACHUS NIG LTD Hyperia,4/16/2018,,3619771,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,3/19/2018,4/17/2018,HN9260,Y1B051,YahClick Lite 10GB,,2332146,Inactive,6.47,6.09,"F39R+X2 Ebute-Ujogba,   "
NC010G1,(234) 146-1991,Etchgold Nigeria Limited,4/10/2018,,3373588,SKY01326,,Y1B,Y1BATH,Y1B-B61-OR2,4/10/2018,4/16/2014,4/17/2018,HN9800,Y1B061,YahClick Lite 10GB,,2482968,Inactive,9.24,12.439722,"6CQQ+XV Jimeta,   "
NC010G1,8032345321,SDC Limited Hyperia,4/26/2018,,3587734,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,8/18/2017,4/26/2018,HN9800,Y1B051,YahClick Lite 10GB,,2489641,Inactive,5.483333,5.1975,"F5MW+8X Olusumere-Oke,   "
NC010G1,8032345321,SDC Limited Hyperia,4/27/2018,,3587813,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,8/21/2017,4/27/2018,HN9800,Y1B051,YahClick Lite 10GB,,2484453,Inactive,5.350556,5.351667,"9922+6M Forcados,   "
NC010G1,8032345321,SDC Limited Hyperia,4/30/2018,,3587652,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,7/25/2017,4/30/2018,HN9600,Y1B051,YahClick Lite 10GB,,2585587,Inactive,5.099722,5.299722,6FQ737XX+VV
NC010G1,8032345321,SDC Limited Hyperia,4/30/2018,,3587808,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,8/5/2017,4/30/2018,HN9600,Y1B051,YahClick Lite 10GB,,2615536,Inactive,5.541389,7.498056,"GFRX+G6J, Umuahia 440236, Umuahia, Abia,   "
NC010G1,8032345321,SDC Limited Hyperia,4/30/2018,,3587823,,,Y1B,Y1BLXB,Y1B-B57-OR1,4/10/2018,8/30/2017,4/30/2018,HN9600,Y1B057,YahClick Lite 10GB,,2627841,Inactive,6.316667,3.266667,"8788+MM Lagos,   "
NC020G1,(234) 146-1991,SWIFT CONSULTING HYPERIA,4/30/2018,,3409087,,,Y1B,Y1BLXB,Y1B-B57-OR1,4/10/2018,10/10/2014,4/30/2018,HN9600,Y1B057,YahClick Empower 20GB,,2610096,Inactive,6.833333,3.468889,"RFM9+8H Pakuro,   "
NC010G1,8032345321,SDC Limited Hyperia,5/2/2018,,3587824,,,Y1B,Y1BLXB,Y1B-B50-OR1,4/10/2018,9/6/2017,5/2/2018,HN9600,Y1B050,YahClick Lite 10GB,,2636364,Inactive,5.891111,5.692778,"VMRV+CCP, Sapele 331107, Sapele, Delta,   "
NC010G1,8032345321,SDC Limited Hyperia,5/2/2018,,3587826,,,Y1B,Y1BLXB,Y1B-B57-OR1,4/10/2018,9/7/2017,5/2/2018,HN9800,Y1B057,YahClick Lite 10GB,,2600379,Inactive,5.891111,5.692778,"VMRV+CCP, Sapele 331107, Sapele, Delta,   "
NC010G1,8032345321,SDC Limited Hyperia,5/2/2018,,3587830,,,Y1B,Y1BLXB,Y1B-B57-OR1,4/10/2018,9/11/2017,5/2/2018,HN9600,Y1B057,YahClick Lite 10GB,,2585564,Inactive,5.891667,5.693056,"VMRV+CCP, Sapele 331107, Sapele, Delta,   "
NC010G1,8032345321,SDC Limited Hyperia,5/2/2018,,3587831,,,Y1B,Y1BLXB,Y1B-B57-OR1,4/10/2018,9/12/2017,5/2/2018,HN9600,Y1B057,YahClick Lite 10GB,,2636201,Inactive,5.810556,5.721389,"RP6C+6H Ukuadede Camp,   "
NC010G1,8032345321,SDC Limited Hyperia,5/2/2018,,3587833,,,Y1B,Y1BLXB,Y1B-B57-OR1,4/10/2018,9/13/2017,5/2/2018,HN9600,Y1B057,YahClick Lite 10GB,,2609724,Inactive,5.849722,5.683056,"RMXM+V6 Sapele,   "
